Net,proc,Blue_Acts,Blue_Acts_Extended,Red_acts,Red_acts_Target,Red_Fsm,Green_Acts
0,0,Analyse,Analyse admin_network_subnet_server_host_1,None,None,None,"[{'act': 'None', 'hostname': 'public_access_zone_subnet_user_host_0'}, {'act': 'None', 'hostname': 'public_access_zone_subnet_user_host_1'}, {'act': 'None', 'hostname': 'public_access_zone_subnet_user_host_2'}, {'act': 'None', 'hostname': 'public_access_zone_subnet_user_host_3'}, {'act': 'None', 'hostname': 'public_access_zone_subnet_user_host_4'}, {'act': 'None', 'hostname': 'public_access_zone_subnet_user_host_5'}, {'act': 'None', 'hostname': 'public_access_zone_subnet_user_host_6'}]"
1,0,Remove,Remove admin_network_subnet_user_host_2,Sleep,,None,"[{'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_0'}, {'act': '[GreenAccessService 10.0.60.253 58235]', 'hostname': 'public_access_zone_subnet_user_host_1'}, {'act': '[GreenLocalWork 10.0.64.55]', 'hostname': 'public_access_zone_subnet_user_host_2'}, {'act': '[GreenAccessService 10.0.60.253 51019]', 'hostname': 'public_access_zone_subnet_user_host_3'}, {'act': '[GreenAccessService 10.0.9.253 56830]', 'hostname': 'public_access_zone_subnet_user_host_4'}, {'act': '[GreenAccessService 10.0.60.249 54923]', 'hostname': 'public_access_zone_subnet_user_host_5'}, {'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_6'}]"
0,0,Restore,Restore admin_network_subnet_server_host_2,Sleep,,None,"[{'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_0'}, {'act': '[GreenAccessService 10.0.60.254 55610]', 'hostname': 'public_access_zone_subnet_user_host_1'}, {'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_2'}, {'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_3'}, {'act': '[GreenLocalWork 10.0.64.140]', 'hostname': 'public_access_zone_subnet_user_host_4'}, {'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_5'}, {'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_6'}]"
0,0,DeployDecoy,DeployDecoy admin_network_subnet_server_host_3,PrivilegeEscalate,,None,"[{'act': '[GreenAccessService 10.0.60.250 58418]', 'hostname': 'public_access_zone_subnet_user_host_0'}, {'act': '[GreenLocalWork 10.0.64.5]', 'hostname': 'public_access_zone_subnet_user_host_1'}, {'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_2'}, {'act': '[GreenLocalWork 10.0.64.78]', 'hostname': 'public_access_zone_subnet_user_host_3'}, {'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_4'}, {'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_5'}, {'act': '[GreenAccessService 10.0.60.250 51515]', 'hostname': 'public_access_zone_subnet_user_host_6'}]"
0,0,Remove,Remove admin_network_subnet_server_host_5,DiscoverRemoteSystems,,"{'hosts': ['office_network_subnet_user_host_0'], 'state': ['R']}","[{'act': '[GreenAccessService 10.0.23.253 58522]', 'hostname': 'public_access_zone_subnet_user_host_0'}, {'act': '[GreenAccessService 10.0.168.254 55878]', 'hostname': 'public_access_zone_subnet_user_host_1'}, {'act': '[GreenLocalWork 10.0.64.55]', 'hostname': 'public_access_zone_subnet_user_host_2'}, {'act': '[GreenLocalWork 10.0.64.78]', 'hostname': 'public_access_zone_subnet_user_host_3'}, {'act': '[GreenLocalWork 10.0.64.140]', 'hostname': 'public_access_zone_subnet_user_host_4'}, {'act': '[GreenLocalWork 10.0.64.162]', 'hostname': 'public_access_zone_subnet_user_host_5'}, {'act': '[GreenAccessService 10.0.60.249 59242]', 'hostname': 'public_access_zone_subnet_user_host_6'}]"
0,0,Analyse,Analyse admin_network_subnet_user_host_3,Sleep,,"{'hosts': [], 'state': []}","[{'act': '[GreenAccessService 10.0.52.247 49781]', 'hostname': 'public_access_zone_subnet_user_host_0'}, {'act': '[GreenAccessService 10.0.52.253 50315]', 'hostname': 'public_access_zone_subnet_user_host_1'}, {'act': '[GreenAccessService 10.0.230.253 49417]', 'hostname': 'public_access_zone_subnet_user_host_2'}, {'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_3'}, {'act': '[GreenLocalWork 10.0.64.140]', 'hostname': 'public_access_zone_subnet_user_host_4'}, {'act': '[GreenAccessService 10.0.52.253 50374]', 'hostname': 'public_access_zone_subnet_user_host_5'}, {'act': '[GreenLocalWork 10.0.64.161]', 'hostname': 'public_access_zone_subnet_user_host_6'}]"
0,0,DeployDecoy,DeployDecoy admin_network_subnet_user_host_0,Sleep,,None,"[{'act': '[GreenAccessService 10.0.9.253 58681]', 'hostname': 'public_access_zone_subnet_user_host_0'}, {'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_1'}, {'act': '[GreenAccessService 10.0.60.254 58871]', 'hostname': 'public_access_zone_subnet_user_host_2'}, {'act': '[GreenAccessService 10.0.52.250 59161]', 'hostname': 'public_access_zone_subnet_user_host_3'}, {'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_4'}, {'act': '[GreenLocalWork 10.0.64.162]', 'hostname': 'public_access_zone_subnet_user_host_5'}, {'act': '[GreenAccessService 10.0.52.250 50423]', 'hostname': 'public_access_zone_subnet_user_host_6'}]"
1,0,AllowTrafficZone,AllowTrafficZone admin_network_subnet (10.0.52.0/24) <- restricted_zone_b_subnet (10.0.23.0/24),StealthServiceDiscovery,admin_network_subnet_server_host_1,None,"[{'act': '[GreenAccessService 10.0.64.254 53001]', 'hostname': 'public_access_zone_subnet_user_host_0'}, {'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_1'}, {'act': '[GreenAccessService 10.0.168.254 58722]', 'hostname': 'public_access_zone_subnet_user_host_2'}, {'act': '[GreenLocalWork 10.0.64.78]', 'hostname': 'public_access_zone_subnet_user_host_3'}, {'act': '[GreenAccessService 10.0.60.254 58095]', 'hostname': 'public_access_zone_subnet_user_host_4'}, {'act': '[GreenAccessService 10.0.60.254 59544]', 'hostname': 'public_access_zone_subnet_user_host_5'}, {'act': '[GreenAccessService 10.0.52.253 58033]', 'hostname': 'public_access_zone_subnet_user_host_6'}]"
0,0,AllowTrafficZone,AllowTrafficZone admin_network_subnet (10.0.52.0/24) <- restricted_zone_a_subnet (10.0.230.0/24),Sleep,,"{'hosts': ['admin_network_subnet_server_host_1'], 'state': ['S']}","[{'act': '[GreenLocalWork 10.0.64.182]', 'hostname': 'public_access_zone_subnet_user_host_0'}, {'act': '[GreenLocalWork 10.0.64.5]', 'hostname': 'public_access_zone_subnet_user_host_1'}, {'act': '[GreenAccessService 10.0.60.253 55319]', 'hostname': 'public_access_zone_subnet_user_host_2'}, {'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_3'}, {'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_4'}, {'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_5'}, {'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_6'}]"
0,0,Analyse,Analyse admin_network_subnet_server_host_3,Sleep,,None,"[{'act': '[Sleep]', 'hostname': 'public_access_zone_subnet_user_host_0'}, {'act': '[GreenAccessService 10.0.52.247 54227]', 'hostname': 'public_access_zone_subnet_user_host_1'}, {'act': '[GreenAccessService 10.0.230.253 51258]', 'hostname': 'public_access_zone_subnet_user_host_2'}, {'act': '[GreenAccessService 10.0.60.253 52545]', 'hostname': 'public_access_zone_subnet_user_host_3'}, {'act': '[GreenAccessService 10.0.23.254 52323]', 'hostname': 'public_access_zone_subnet_user_host_4'}, {'act': '[GreenAccessService 10.0.9.254 58278]', 'hostname': 'public_access_zone_subnet_user_host_5'}, {'act': '[GreenLocalWork 10.0.64.161]', 'hostname': 'public_access_zone_subnet_user_host_6'}]"
